arquivo,timestamp_s,timecode,tipo
0129_00-07-52_672.jpg,472.672,00-07-52.672,corte
0130_00-07-56_109.jpg,476.109,00-07-56.109,corte
0131_00-07-58_878.jpg,478.878,00-07-58.878,corte
0132_00-08-08_021.jpg,488.021,00-08-08.021,corte
0133_00-08-10_500.jpg,490.500,00-08-10.500,suave
0134_00-08-13_750.jpg,493.750,00-08-13.750,suave
0135_00-08-18_500.jpg,498.500,00-08-18.500,suave
0136_00-08-21_434.jpg,501.434,00-08-21.434,corte
0137_00-08-22_869.jpg,502.869,00-08-22.869,corte
0138_00-08-23_770.jpg,503.770,00-08-23.770,corte
0139_00-08-29_609.jpg,509.609,00-08-29.609,corte
0140_00-08-31_444.jpg,511.444,00-08-31.444,corte
0141_00-08-41_250.jpg,521.250,00-08-41.250,suave
0142_00-08-43_923.jpg,523.923,00-08-43.923,corte
0143_00-08-45_125.jpg,525.125,00-08-45.125,corte
0144_00-08-46_750.jpg,526.750,00-08-46.750,suave
0145_00-08-50_250.jpg,530.250,00-08-50.250,suave
0146_00-08-54_401.jpg,534.401,00-08-54.401,corte
0147_00-09-00_540.jpg,540.540,00-09-00.540,corte
0148_00-09-01_374.jpg,541.374,00-09-01.374,corte
0149_00-09-04_344.jpg,544.344,00-09-04.344,corte
0150_00-09-07_113.jpg,547.113,00-09-07.113,corte
0151_00-09-11_651.jpg,551.651,00-09-11.651,corte
0152_00-09-13_753.jpg,553.753,00-09-13.753,corte
0153_00-09-14_654.jpg,554.654,00-09-14.654,corte
0154_00-09-17_750.jpg,557.750,00-09-17.750,suave
0155_00-09-21_250.jpg,561.250,00-09-21.250,suave
0156_00-09-23_750.jpg,563.750,00-09-23.750,suave
0157_00-09-25_031.jpg,565.031,00-09-25.031,corte
0158_00-09-29_750.jpg,569.750,00-09-29.750,suave
0159_00-09-33_750.jpg,573.750,00-09-33.750,suave
0160_00-09-34_574.jpg,574.574,00-09-34.574,corte
0161_00-09-36_876.jpg,576.876,00-09-36.876,corte
0162_00-09-40_547.jpg,580.547,00-09-40.547,corte
0163_00-09-42_415.jpg,582.415,00-09-42.415,corte
0164_00-09-43_850.jpg,583.850,00-09-43.850,corte
0165_00-09-45_251.jpg,585.251,00-09-45.251,corte
0166_00-09-49_189.jpg,589.189,00-09-49.189,corte
0167_00-09-52_750.jpg,592.750,00-09-52.750,suave
0168_00-09-55_000.jpg,595.000,00-09-55.000,suave
